red_id,Timestamp,datum,sesija_id,epizoda_id,Room_Occupancy_Count,skup
0,2017-12-22 10:49:41,2017-12-22,0,1,1,development
1,2017-12-22 10:50:12,2017-12-22,0,1,1,development
2,2017-12-22 10:50:42,2017-12-22,0,1,1,development
3,2017-12-22 10:51:13,2017-12-22,0,1,1,development
4,2017-12-22 10:51:44,2017-12-22,0,1,1,development
5,2017-12-22 10:52:14,2017-12-22,0,1,1,development
6,2017-12-22 10:52:45,2017-12-22,0,1,1,development
7,2017-12-22 10:53:15,2017-12-22,0,1,1,development
8,2017-12-22 10:53:46,2017-12-22,0,1,1,development
9,2017-12-22 10:54:17,2017-12-22,0,1,1,development
10,2017-12-22 10:54:47,2017-12-22,0,1,1,development
11,2017-12-22 10:55:18,2017-12-22,0,1,1,development
12,2017-12-22 10:55:49,2017-12-22,0,1,1,development
13,2017-12-22 10:56:19,2017-12-22,0,1,1,development
14,2017-12-22 10:56:50,2017-12-22,0,1,1,development
15,2017-12-22 10:57:21,2017-12-22,0,1,1,development
16,2017-12-22 10:57:51,2017-12-22,0,1,1,development
17,2017-12-22 10:58:22,2017-12-22,0,1,1,development
18,2017-12-22 10:58:52,2017-12-22,0,1,1,development
19,2017-12-22 10:59:23,2017-12-22,0,1,1,development
20,2017-12-22 10:59:54,2017-12-22,0,1,1,development
21,2017-12-22 11:00:24,2017-12-22,0,1,1,development
22,2017-12-22 11:00:55,2017-12-22,0,1,1,development
23,2017-12-22 11:01:26,2017-12-22,0,1,1,development
24,2017-12-22 11:01:56,2017-12-22,0,1,1,development
25,2017-12-22 11:02:27,2017-12-22,0,1,1,development
26,2017-12-22 11:02:58,2017-12-22,0,1,1,development
27,2017-12-22 11:03:28,2017-12-22,0,1,1,development
28,2017-12-22 11:03:59,2017-12-22,0,1,1,development
29,2017-12-22 11:04:29,2017-12-22,0,1,1,development
30,2017-12-22 11:05:00,2017-12-22,0,1,1,development
31,2017-12-22 11:05:31,2017-12-22,0,1,1,development
32,2017-12-22 11:06:01,2017-12-22,0,1,1,development
33,2017-12-22 11:06:32,2017-12-22,0,1,1,development
34,2017-12-22 11:07:03,2017-12-22,0,1,1,development
35,2017-12-22 11:07:33,2017-12-22,0,1,1,development
36,2017-12-22 11:08:04,2017-12-22,0,1,1,development
37,2017-12-22 11:08:35,2017-12-22,0,1,1,development
38,2017-12-22 11:09:05,2017-12-22,0,1,1,development
39,2017-12-22 11:09:36,2017-12-22,0,1,1,development
40,2017-12-22 11:10:06,2017-12-22,0,1,1,development
41,2017-12-22 11:10:37,2017-12-22,0,1,1,development
42,2017-12-22 11:11:08,2017-12-22,0,1,1,development
43,2017-12-22 11:11:38,2017-12-22,0,1,1,development
44,2017-12-22 11:12:09,2017-12-22,0,1,1,development
45,2017-12-22 11:12:40,2017-12-22,0,1,1,development
46,2017-12-22 11:13:10,2017-12-22,0,1,1,development
47,2017-12-22 11:13:41,2017-12-22,0,1,1,development
48,2017-12-22 11:14:12,2017-12-22,0,1,1,development
49,2017-12-22 11:14:42,2017-12-22,0,1,1,development
50,2017-12-22 11:15:13,2017-12-22,0,1,1,development
51,2017-12-22 11:15:43,2017-12-22,0,1,1,development
52,2017-12-22 11:16:14,2017-12-22,0,1,1,development
53,2017-12-22 11:16:45,2017-12-22,0,1,1,development
54,2017-12-22 11:17:15,2017-12-22,0,1,1,development
55,2017-12-22 11:17:46,2017-12-22,0,1,1,development
56,2017-12-22 11:18:17,2017-12-22,0,1,1,development
57,2017-12-22 11:18:47,2017-12-22,0,1,1,development
58,2017-12-22 11:19:18,2017-12-22,0,1,1,development
59,2017-12-22 11:19:49,2017-12-22,0,1,1,development
60,2017-12-22 11:20:19,2017-12-22,0,1,1,development
61,2017-12-22 11:20:50,2017-12-22,0,1,1,development
62,2017-12-22 11:21:20,2017-12-22,0,1,1,development
63,2017-12-22 11:21:51,2017-12-22,0,1,1,development
64,2017-12-22 11:22:22,2017-12-22,0,1,1,development
65,2017-12-22 11:22:52,2017-12-22,0,1,1,development
66,2017-12-22 11:23:23,2017-12-22,0,1,1,development
67,2017-12-22 11:23:54,2017-12-22,0,1,1,development
68,2017-12-22 11:24:24,2017-12-22,0,1,1,development
69,2017-12-22 11:24:55,2017-12-22,0,1,1,development
70,2017-12-22 11:25:25,2017-12-22,0,1,1,development
71,2017-12-22 11:25:56,2017-12-22,0,1,1,development
72,2017-12-22 11:26:27,2017-12-22,0,1,1,development
73,2017-12-22 11:27:28,2017-12-22,0,1,1,development
74,2017-12-22 11:27:59,2017-12-22,0,1,1,development
75,2017-12-22 11:28:29,2017-12-22,0,2,2,development
76,2017-12-22 11:29:00,2017-12-22,0,2,2,development
77,2017-12-22 11:29:31,2017-12-22,0,2,2,development
78,2017-12-22 11:30:01,2017-12-22,0,2,2,development
79,2017-12-22 11:30:32,2017-12-22,0,2,2,development
80,2017-12-22 11:31:02,2017-12-22,0,2,2,development
81,2017-12-22 11:31:33,2017-12-22,0,2,2,development
82,2017-12-22 11:32:04,2017-12-22,0,2,2,development
83,2017-12-22 11:32:34,2017-12-22,0,2,2,development
84,2017-12-22 11:33:05,2017-12-22,0,2,2,development
85,2017-12-22 11:33:36,2017-12-22,0,2,2,development
86,2017-12-22 11:34:06,2017-12-22,0,2,2,development
87,2017-12-22 11:34:37,2017-12-22,0,2,2,development
88,2017-12-22 11:35:08,2017-12-22,0,2,2,development
89,2017-12-22 11:35:38,2017-12-22,0,2,2,development
90,2017-12-22 11:36:09,2017-12-22,0,2,2,development
91,2017-12-22 11:36:39,2017-12-22,0,2,2,development
92,2017-12-22 11:39:13,2017-12-22,1,3,2,development
93,2017-12-22 11:39:43,2017-12-22,1,3,2,development
94,2017-12-22 11:40:14,2017-12-22,1,3,2,development
95,2017-12-22 11:40:45,2017-12-22,1,3,2,development
96,2017-12-22 11:41:15,2017-12-22,1,3,2,development
97,2017-12-22 11:41:46,2017-12-22,1,3,2,development
98,2017-12-22 11:42:16,2017-12-22,1,3,2,development
99,2017-12-22 11:42:47,2017-12-22,1,3,2,development
100,2017-12-22 11:43:18,2017-12-22,1,3,2,development
101,2017-12-22 11:43:48,2017-12-22,1,3,2,development
102,2017-12-22 11:44:19,2017-12-22,1,3,2,development
103,2017-12-22 11:44:50,2017-12-22,1,3,2,development
104,2017-12-22 11:45:20,2017-12-22,1,3,2,development
105,2017-12-22 11:45:51,2017-12-22,1,3,2,development
106,2017-12-22 11:46:22,2017-12-22,1,3,2,development
107,2017-12-22 11:46:52,2017-12-22,1,3,2,development
108,2017-12-22 11:47:23,2017-12-22,1,3,2,development
109,2017-12-22 11:47:53,2017-12-22,1,3,2,development
110,2017-12-22 11:48:24,2017-12-22,1,3,2,development
111,2017-12-22 11:48:55,2017-12-22,1,3,2,development
112,2017-12-22 11:49:25,2017-12-22,1,3,2,development
113,2017-12-22 11:49:56,2017-12-22,1,3,2,development
114,2017-12-22 11:50:27,2017-12-22,1,3,2,development
115,2017-12-22 11:50:57,2017-12-22,1,3,2,development
116,2017-12-22 11:51:28,2017-12-22,1,3,2,development
117,2017-12-22 11:51:59,2017-12-22,1,3,2,development
118,2017-12-22 11:52:29,2017-12-22,1,3,2,development
119,2017-12-22 11:53:00,2017-12-22,1,3,2,development
120,2017-12-22 11:53:30,2017-12-22,1,3,2,development
121,2017-12-22 11:54:01,2017-12-22,1,4,1,development
122,2017-12-22 11:54:32,2017-12-22,1,4,1,development
123,2017-12-22 11:55:02,2017-12-22,1,5,2,development
124,2017-12-22 11:55:33,2017-12-22,1,5,2,development
125,2017-12-22 11:56:04,2017-12-22,1,5,2,development
126,2017-12-22 11:56:34,2017-12-22,1,5,2,development
127,2017-12-22 11:57:05,2017-12-22,1,5,2,development
128,2017-12-22 11:57:36,2017-12-22,1,5,2,development
129,2017-12-22 11:58:06,2017-12-22,1,5,2,development
130,2017-12-22 11:58:37,2017-12-22,1,5,2,development
131,2017-12-22 11:59:07,2017-12-22,1,5,2,development
132,2017-12-22 11:59:38,2017-12-22,1,5,2,development
133,2017-12-22 12:00:09,2017-12-22,1,5,2,development
134,2017-12-22 12:00:39,2017-12-22,1,5,2,development
135,2017-12-22 12:01:10,2017-12-22,1,5,2,development
136,2017-12-22 12:01:41,2017-12-22,1,5,2,development
137,2017-12-22 12:02:11,2017-12-22,1,5,2,development
138,2017-12-22 12:02:42,2017-12-22,1,5,2,development
139,2017-12-22 12:03:12,2017-12-22,1,5,2,development
140,2017-12-22 12:03:43,2017-12-22,1,5,2,development
141,2017-12-22 12:04:14,2017-12-22,1,5,2,development
142,2017-12-22 12:04:44,2017-12-22,1,5,2,development
143,2017-12-22 12:05:15,2017-12-22,1,5,2,development
