model,postavka,atributi,F1_fold1,F1_fold2,F1_prosek,bal_acc,accuracy,vreme_s
LogisticRegression,podrazumevano,senzori,0.5187,0.6733,0.596,0.5816,0.8502,0.05
LogisticRegression,podrazumevano,senzori+vreme,0.4895,0.6733,0.5814,0.6248,0.8384,0.06
DecisionTree,podrazumevano,senzori,0.5811,0.6011,0.5911,0.7052,0.8432,0.01
DecisionTree,podrazumevano,senzori+vreme,0.5233,0.4,0.4616,0.5824,0.786,0.01
RandomForest,podrazumevano,senzori,0.5393,0.6786,0.6089,0.6724,0.8465,0.29
RandomForest,podrazumevano,senzori+vreme,0.3862,0.6158,0.501,0.5193,0.8189,0.32
XGBoost,podrazumevano,senzori,0.5199,0.6505,0.5852,0.6156,0.8586,0.31
XGBoost,podrazumevano,senzori+vreme,0.4824,0.5889,0.5356,0.5432,0.8399,0.25
LogisticRegression,balanced,senzori,0.5003,0.6708,0.5856,0.6049,0.8428,0.1
LogisticRegression,balanced,senzori+vreme,0.3267,0.6708,0.4988,0.5645,0.6861,0.09
DecisionTree,balanced,senzori,0.5376,0.7281,0.6329,0.6914,0.8816,0.01
DecisionTree,balanced,senzori+vreme,0.7588,0.5043,0.6315,0.7012,0.8708,0.01
RandomForest,balanced,senzori,0.5918,0.708,0.6499,0.6685,0.8761,0.29
RandomForest,balanced,senzori+vreme,0.4149,0.6701,0.5425,0.5997,0.8386,0.31
XGBoost,balanced,senzori,0.4789,0.6119,0.5454,0.567,0.837,0.33
XGBoost,balanced,senzori+vreme,0.4137,0.593,0.5034,0.5256,0.8113,0.24
