k,F1_fold1,F1_fold2,F1_prosek,bal_acc,razlika_foldova,dodat_atribut
1,0.5156,0.5793,0.5474,0.5308,0.0637,S2_Light
2,0.4168,0.6698,0.5433,0.5296,0.253,S1_Light
3,0.5936,0.6983,0.6459,0.7052,0.1046,S3_Light
4,0.5982,0.7031,0.6507,0.7188,0.105,S4_Light
5,0.7116,0.7031,0.7074,0.742,0.0085,S2_Temp
6,0.7116,0.7102,0.7109,0.7468,0.0015,S3_Temp
7,0.7134,0.7102,0.7118,0.7665,0.0033,S5_CO2
8,0.7116,0.7031,0.7074,0.742,0.0085,S1_Temp
9,0.4231,0.7102,0.5666,0.6434,0.2871,S5_CO2_Slope
10,0.6113,0.6983,0.6548,0.712,0.087,S4_Temp
11,0.6531,0.7031,0.6781,0.7547,0.0501,S1_Sound
12,0.4703,0.6983,0.5843,0.6393,0.228,S2_Sound
13,0.6529,0.751,0.7019,0.7693,0.0982,S3_Sound
14,0.666,0.7102,0.6881,0.7429,0.0441,S4_Sound
15,0.4495,0.6983,0.5739,0.6261,0.2487,S7_PIR
16,0.6688,0.7206,0.6947,0.7462,0.0518,S6_PIR
